Samples,aSEC Retention Time (min),aSEC % Monomer,CIC Retention Time (min),CIC Dev. Score,HIC Retention Time (min),HIC Dev. Score,BVP-ELISA OD450 (a.u.),BVP-ELISA Dev. Score,AC-SINS Δλmax (nm),AC-SINS Dev. Score,DLS PDI,DLS Dev. Score,Cumulant Radius (nm),Cumulant Radius St Dev,Total Developability Score (excluding temp),Tonset (ºC),Tonset St Dev,Tm (ºC),Tm St Dev,Tagg (ºC),Tagg St Dev,TRh (ºC),T↑Rh St Dev
TBC-107-11_VHH,3.8,100,10.86,3,23.59,3,1.86,3,26.3,3,0.8,3,19.07,0.28,15,57.76,0.11,67.46,0.07,84.99,0.02,81.45,0.05
TBC-109-VA10001_VHH,3.8,100,9.45,2,19.18,3,1.781,3,8.95,1,0.89,3,15.48,0.10,12,54.71,0.09,66.15,0.01,84.12,0.01,80.98,0.72
TBC-109-VA10005_VHH,3.7,83.53,9.42,2,19.6,3,3.273,3,10.64,2,0.71,3,10.66,1.25,13,57.84,0.09,66.9,0.15,61.41,40.35,82.01,0.09
TBC-109-VA10007_VHH,3.6,92.48,9.19,2,17.58,2,2.953,3,2.55,1,0.2,2,4.77,0.03,10,58.5,0.15,67.33,0.06,84.36,0,80.15,0.45
TBC-109-VA10008_VHH,4.4,69.68,10.53,3,25.1,3,0.311,1,6.29,1,0.52,3,15.31,0.06,11,55.54,0.18,67.66,0.18,82.86,0.02,79.58,0.09
TBC-109-VA10021_VHH,3.7,100,9.43,2,12.91,1,2.772,3,3.6,1,0.85,3,19.36,0.04,10,58.61,0.9,67.18,0.06,80.75,0,78.1,0.27
TBC-109-VA10037_VHH,Inconclusive,---,Inconclusive,---,24.29,3,3.174,3,4.83,1,0.65,3,22.64,1.72,10,52.22,0.36,58.58,0.06,59.22,0.04,80.66,0.27
D8D85764-3574-KV-cFR2muts_VHH,3.7,100,9.13,2,12.95,1,0.838,2,6.78,1,0.31,3,4.56,0.01,9,62.45,0.18,70.17,0.14,82.3,0.01,78.55,0.18
D8D85764-3574-KV_VHH,3.7,100,9.2,2,14.85,1,0.226,1,8.65,1,0.24,2,4.44,0.04,7,59.27,0.92,68.18,0.07,82.9,0.04,79.43,0.09
D9D88792-8800-KV_VHH,3.7,100,9.52,2,16.53,2,2.255,3,8.76,1,0.15,2,4.37,0.19,10,58.5,0.77,66.68,0.01,85.77,0.27,80.78,0.71
D9D88792-8908-KV-cFR2muts_VHH,3.6,100,9.01,2,14.85,1,0.571,1,2.38,1,0.19,2,4.39,0.00,7,61.61,0.08,68.86,0.04,84.56,0.03,80.87,0.51
D11D77826-294-KV-cFR2muts_VHH,3.7,100,9.2,2,17.29,2,0.344,1,3.68,1,0.16,2,4.29,0.14,8,59.66,1.25,67.82,0.01,64.88,5.19,79.63,1.67
D11D77826-294-KV_VHH,3.8,100,9.59,2,23.14,3,1.48,3,6.52,1,0.13,2,4.26,0.07,11,59.95,0.67,67.87,0.05,42.47,8.65,79.27,0.5
D9D88792-13450-Nor_VHH,3.8,100,9.66,2,18.55,3,2.013,3,15.08,2,0.09,1,4.23,0.01,11,59.07,0.68,66.3,0.01,82.64,0.01,79.79,0.09
D9D88792-13450-Nor-cFR2muts_VHH,3.7,100,9.48,2,14.31,1,0.32,1,8.32,1,0.19,2,4.43,0.12,7,56.54,0.17,63.94,0.09,82.08,0.04,78.89,0.51
D11D77826-2258-Nor-cFR2muts_VHH,3.7,100,9.31,2,14.87,1,2.313,3,5.08,1,0.07,1,4.27,0.01,8,59.07,0.25,68.07,0.05,87.03,0.09,74.86,0.75
D11D77826-2258-KV_VHH,3.8,100,9.55,2,17.61,2,0.389,1,9.7,1,0.08,1,4.23,0.04,7,60.01,0.75,66.86,0.13,73.72,17.89,80.69,0.83
D11D77826-2258-Kabat_VHH,3.8,100,9.64,2,16.22,2,3.187,3,10.64,2,0.09,1,4.24,0.12,10,59.89,1.08,67.18,0.04,53.2,16.17,79.86,0.17
D11D77826-2258-Nor_VHH,3.8,100,9.64,2,16.09,2,3.129,3,13.81,2,0.08,1,4.28,0.03,10,61.15,0.3,71.23,0.03,86.44,0.55,80.04,2.76
D9D88792-5767-IMGT-cFR2muts_VHH,3.9,100,9.84,2,19.85,3,0.48,1,10.8,2,0.42,3,5.45,0.10,11,55.69,0.36,62.23,0.01,82.95,0.05,79.5,0.76
D9D88792-5767-KV_VHH,4,100,10.76,3,21.8,3,0.366,1,17.11,2,0.48,3,5.63,1.44,12,58.05,0.26,65.59,0.01,82.51,0.06,78.95,0.09
D9D88792-5767-Nor_VHH,4,100,10.6,3,21.86,3,0.655,1,18.25,2,0.75,3,8.35,0.55,12,55.93,---,66.75,---,82.34,---,79.13,---
D9D88792-5767-IMGT_VHH,4.2,100,13.59,3,Inconclusive,---,2.259,3,25.8,3,0.73,3,14.44,0.34,12,57.44,0.09,66.04,0.17,82.65,0.04,79.13,0.17
D9D88792-13450-KV_VHH,3.8,100,9.58,2,17.9,2,2.895,3,8.45,1,0.15,2,4.43,0.08,10,60.12,---,66.43,---,83.86,---,80.28,---
D9D88792-13450-KV-cFR2muts_VHH,3.7,100,9.21,2,13.7,1,0.376,1,5.32,1,0.11,2,4.31,0.07,7,63.48,0.09,68.2,0.05,83.25,0.03,79.55,0.26
D12D77826-11122-KV_VHH,3.9,100,9.7,2,18.8,3,0.387,1,8.57,1,0.77,3,8.21,0.51,10,70.49,0.09,81.36,0.26,83.39,0.01,80.16,0.09
D11D77826-1763-KV_VHH,3.9,100,9.53,2,18.2,3,0.39,1,5.58,1,0.16,2,4.30,0.10,9,61.19,0.43,67.06,0.02,83.94,0.04,80.28,0.09
D11D77826-1763-KV-cFR2muts_VHH,3.8,89.06,9.29,2,14.1,1,3.17,3,4.62,1,0.1,1,4.28,0.03,8,57.62,0.17,63.6,0.07,83.23,0.03,79.85,0.17
D12D77826-11122-Nor_VHH,3.9,100,9.71,2,18.2,3,1.084,2,8.66,1,0.8,3,9.66,0.29,11,55.57,0.34,61.54,0.02,82.2,0.01,79.67,0.43
D12D77826-11122-IMGT_VHH,4.1,100,11.09,3,22.6,3,3.256,3,16.09,2,0.83,3,17.22,0.47,14,55.39,0.26,61.89,0.07,82.28,0.01,79.07,0.6
D12D77826-11122-Nor-cFR2muts_VHH,3.8,91,9.48,2,14.1,1,0.961,2,6.78,1,0.2,2,4.50,0.04,8,55.75,0.43,62.04,0.05,81.54,0.01,78.77,0.17
D11D77826-1763-Nor_VHH,3.9,100,9.94,2,18.1,3,0.318,1,14.05,2,1.01,3,13.74,0.75,11,53.76,0.27,59.46,0.03,81.67,0.04,79.39,0
D11D77826-1763-IMGT_VHH,4.1,100,11.72,3,21.7,3,1.353,3,23.74,2,0.91,3,14.02,1.29,14,53.97,---,59.07,---,81.76,---,78.96,---
D11D77826-1763-Nor-cFR2muts_VHH,3.8,98,9.51,3,13.8,1,0.136,1,12.24,2,0.19,2,4.48,0.05,9,53.63,0.09,59.86,0.01,82.42,0.03,79.26,0.36
D11D77826-3826-KV_VHH,3.9,100,10.11,3,19.7,3,0.85,2,24.19,2,0.53,3,5.60,---,13,63.5,---,74.1,---,61.09,---,78.78,---
D11D77826-3826-KV-cFR2muts_VHH,3.9,100,10.02,3,16.3,2,0.412,1,21.89,2,0.18,2,4.61,0.05,10,60.87,0.71,66.22,0.07,59.64,35.1,79.22,0.27
D9D88792-8769-Nor_VHH,3.7,100,9.5,2,18,2,0.367,1,5.09,1,0.24,2,4.58,0.17,8,66.28,---,73.12,---,85.9,---,22.5,---
D9D88792-8769-KV_VHH,3.8,100,9.35,2,18,2,0.407,1,6.02,1,0.27,2,4.69,0.04,8,61.32,0.36,67.01,0.01,85.16,0.07,81.18,0.81
D9D88792-8769-KV-cFR2muts_VHH,3.7,100,9.16,2,15,1,0.377,1,4.08,1,0.19,2,4.49,0.15,7,60.18,0.18,66.46,0.05,84.95,0,80.6,0.18
D6D88695-15168-Cho_VHH,4.3,100,10.74,3,23.6,3,2.509,3,17.56,2,0.8,3,14.50,0.19,14,56.26,1.09,68.49,0.02,78.93,0.04,75.41,0.18
D6D88695-15168-Nor_VHH,4.1,100,10.3,3,20.5,3,1.745,3,19.88,2,0.87,3,15.48,0.16,14,58.83,0.55,67.87,0.06,78.98,0.05,76.43,0.36
D6D88695-15168-Cho-cFR2muts_VHH,3.9,100,9.79,2,17.4,2,0.822,2,14.18,2,0.98,3,10.20,0.72,11,57.25,0.12,68.29,0.17,79.73,0.9,76.18,1.09
D6D88695-15168-KV_VHH,4.1,100,10.33,3,20.7,3,1.806,3,18.13,2,0.88,3,13.14,0.37,14,59.03,0.09,68.12,0.07,78.87,0.17,76.43,0.36
